date,description,amount,category
2025-11-05,BONEFISH GRILL #6606 DENVER CO,-45.84,
2025-11-06,TST* SEASONED SWINE GOLDEN CO,-56.21,
2025-11-07,TST*WOODYS WOOD FIRED P Golden CO,-34.78,
2025-11-08,TST*WOODYS WOOD FIRED P Golden CO,-32.95,
2025-11-09,LA CASITA 425-3915911 WA,-24.40,
2025-11-10,SAMMAMISH CAFE & SPIRI 425-2421350 WA,-78.71,
2025-11-10,THRIFTY RAC 180-08474389 CO,-126.84,
2025-11-11,GREAT WOLF* GPM PURCHA WWW.GREATWOLF IL,-25.00,
2025-11-11,76 - CF UNITED APRO LL FEDERAL WAY WA,-8.49,
2025-11-11,GREAT WOLF LDG GRAND M CENTRALIA WA,-19.57,
2025-11-12,GWL GRAND MOUND TIMBER 800-6409653 WA,-64.87,
2025-11-12,GREAT WOLF LDG GRAND M CENTRALIA WA,-13.60,
2025-11-12,GREAT WOLF LDG GRAND M CENTRALIA WA,-133.00,
2025-11-14,CAMPNAB SUBSCRIPTION VANCOUVER BC,-30.00,
2025-11-15,MCDONALD'S F15433 ISSAQUAH WA,-25.96,
2025-11-17,COSTCO TRAVEL SEATTLE WA,-1312.28,
2025-11-18,THRIFTYTOLL 179186140 VERRAMOBILITY CO,-14.59,
2025-11-18,MCDONALD'S F11996 SAMMAMISH WA,-19.36,
2025-11-19,COSTCO TRAVEL SEATTLE WA,1158.06,
2025-11-21,LA CASITA 425-3915911 WA,-24.32,
2025-11-26,EXPEDIA 73310559397224 EXPEDIA.COM WA,-2256.83,
2025-11-28,BENNYS 29 PALMS TWENTYNIN PLM CA,-29.19,
2025-11-29,BENNYS 29 PALMS TWENTYNIN PLM CA,-47.35,
2025-11-30,FAIRFIELD INN & SUITES TWENTYNINE PA CA,-60.12,
2025-11-30,PSP TRIO PALM SPRINGS CA,-45.12,
2025-12-01,THRIFTY RAC 180-08474389 CA,-65.55,
2025-12-03,AUTOMATIC PAYMENT - THANK YOU,4583.98,
2025-12-03,NUODLE 142-53959999 WA,-53.54,
