date,description,amount,category
2024-10-06,DANISH BAKERY LEAVENWORTH WA,-10.36,
2024-10-06,TST*YODELIN BROTH COMPAN Leavenworth WA,-68.38,
2024-10-07,MASA MEXICAN KITCHEN CAN ISSAQUAH WA,-49.00,
2024-10-08,STARBUCKS STORE 00325 SAMMAMISH WA,-7.67,
2024-10-08,STARBUCKS STORE 00325 SAMMAMISH WA,-6.01,
2024-10-09,LACASITA SAMMAMISH WA,-35.00,
2024-10-10,TRAVEL CREDIT $300/YEAR,300.00,
2024-10-10,ARAMARK RESERVATIONS WA S QUINAULT WA,-304.83,
2024-10-11,KOA WINTHROP WINTHROP WA,-55.99,
2024-10-12,TST*JUPITER Winthrop WA,-31.05,
2024-10-13,KOA WINTHROP WINTHROP WA,-55.99,
2024-10-14,CL *Chase Travel TRIPCHRG.COM VA,-6486.96,
2024-10-16,LACASITA SAMMAMISH WA,-34.56,
2024-10-19,SAMMAMISH CAFE & SPIRI 425-2421350 WA,-51.62,
2024-10-20,MOD PIZZA SAMMAMISH SAMMAMISH WA,-28.39,
2024-10-22,NUODLE 142-53959999 WA,-24.98,
2024-10-23,LA CASITA 425-3915911 WA,-44.40,
2024-10-24,MADALINE'S GRILL 541-5489964 OR,-43.26,
2024-10-25,MCDONALD'S F7592 REDMOND OR,-10.75,
2024-10-25,OR STATE PARKS 800-5516949 OR,-84.00,
2024-10-26,SAMMAMISH CAFE & SPIRI 425-2421350 WA,-23.88,
2024-10-28,SAMMAMISH CAFE & SPIRI 425-2421350 WA,-39.49,
2024-10-30,SQ *JESSICA'S UNIQUE BITE Lake Forest P WA,-19.26,
2024-10-31,LA CASITA 425-3915911 WA,-24.70,
2024-11-01,GWL GRAND MOUND BUCKHO 800-6409653 WA,-26.76,
2024-11-01,GWL GRAND MOUND HUNGRY 800-6409653 WA,-34.99,
2024-11-02,NETFLIX.COM NETFLIX.COM CA,-25.33,
2024-11-02,GWL GRAND MOUND WOODS 800-6409653 WA,-11.78,
2024-11-02,GWL GRAND MOUND HUNGRY 800-6409653 WA,-20.59,
2024-11-02,GWL GRAND MOUND STARBU 800-6409653 WA,-27.69,
2024-11-02,GWL GRAND MOUND WOODS 800-6409653 WA,-6.16,
2024-11-03,AUTOMATIC PAYMENT - THANK YOU,1106.90,
2024-11-03,SAMMAMISH CAFE & SPIRI 425-2421350 WA,-47.27,
