date,description,amount,category
2024-08-08,TIMELESS DESSERT CAFE 142-55225666 WA,-16.48,
2024-08-09,HIPCAMP BOOKING HTTPSWWW.HIPC CA,-47.22,
2024-08-09,Hotel at Booking.com Amsterdam,-96.59,
2024-08-09,HIPCAMP BOOKING HTTPSWWW.HIPC CA,-42.99,
2024-08-10,THE NOBLE PIG BREWHOUSE & KAMLOOPS BC,-37.74,
2024-08-10,SCOOPZ ICE CREAM PARLOUR KAMLOOPS BC,-4.63,
2024-08-10,ALBERTA PARKS EDMONTON AB,-11.48,
2024-08-11,GLACIER NP / PN - MOBILE REVELSTOKE BC,-54.86,
2024-08-11,MARYS MOTEL GOLDEN BC,-159.84,
2024-08-11,ROCKWATER / WHITETOOTH GOLDEN BC,-75.58,
2024-08-12,LS MAIN OUTLET FIELD BC,-34.70,
2024-08-12,22176 MACS CONV. STORES CANMORE AB,-6.12,
2024-08-12,"FOOD & BEVERAGE, BANFF GO BANFF AB",-23.35,
2024-08-12,CANMORE SHAWARMA CANMORE AB,-14.14,
2024-08-12,BANFF GONDOLA BANFF AB,-33.30,
2024-08-12,BANFF GONDOLA GIFT SHOP BANFF AB,-45.92,
2024-08-13,HIPCAMP BOOKING HTTPSWWW.HIPC CA,40.00,
2024-08-13,Black Rock Fudge Gift Canmore AB,-8.41,
2024-08-13,MORAINE LAKE RETAIL LAKE LOUISE AB,-49.75,
2024-08-13,AIRBNB HM33T5Z9N5 AIRBNB.COM CA,-147.85,
2024-08-13,SAVE ON FOODS #6635 CANMORE AB,-7.65,
2024-08-14,GRANDE KITCHEN & BAR CANMORE AB,-37.64,
2024-08-15,ROCKY MOUNTAIN GIFTS BANFF AB,-56.72,
2024-08-15,MOUNTAIN CHOCOLATES BANFF AB,-10.00,
2024-08-15,BANFF SWEET SHOPPE BANFF AB,-14.56,
2024-08-15,BANFF SWEET SHOPPE BANFF AB,-6.89,
2024-08-15,BLACK ANCHOR BANFF AB,-3.35,
2024-08-15,TOMMY'S NEIGHBOURHOOD PU BANFF AB,-23.70,
2024-08-16,SAVE ON FOODS #6635 CANMORE AB,-9.11,
2024-08-16,GRAZE FOOD AND DRINK CANMORE AB,-27.34,
2024-08-16,"Olde Tyme Candy Shoppe Canmore, AB AB",-30.72,
2024-08-16,FGP40123 FAS GAS CANMO CANMORE AB,-57.86,
2024-08-16,CANMORE CANNABIS COMPANY CANMORE AB,-8.77,
2024-08-17,PETRO CANADA39071 WINFIELD BC,-41.07,
2024-08-17,FGP40100 GOLDEN FAS GA GOLDEN BC,-32.88,
2024-08-17,SQ *DOSE COFFEE Revelstoke BC,-3.04,
2024-08-17,IMPARK00100230U KELOWNA BC,-2.93,
2024-08-17,CENTRAL KITCHEN + BAR KELOWNA BC,-33.07,
2024-08-18,SAMMAMISH CAFE & SPIRI 425-2421350 WA,-38.25,
2024-08-18,PETRO CANADA04325 WESTBANK BC,-1.53,
2024-08-18,CHERRY ST MARKET SUMAS WA,-42.27,
2024-08-20,SAMMAMISH CAFE & SPIRI 425-2421350 WA,-24.00,
2024-08-21,LEGENDARY DOUGHNUTS ISSAQUAH WA,-6.52,
2024-08-21,TST*DOUGH ZONE - ISSAQUA Issaquah WA,-63.51,
2024-08-23,SAMMAMISH CAFE & SPIRI 425-2421350 WA,-52.80,
2024-08-27,MOD PIZZA SAMMAMISH SAMMAMISH WA,-27.19,
2024-08-27,MOD PIZZA SAMMAMISH SAMMAMISH WA,-4.29,
2024-08-28,SAMMAMISH CAFE & SPIRI 425-2421350 WA,-52.80,
2024-08-30,SQ *WEST END TAP ROOM (TI FORKS WA,-37.47,
2024-08-31,SQ *WEST END TAP ROOM (TI FORKS WA,-34.34,
2024-08-31,76 - EVERGREEN 76 FORKS WA,-63.01,
2024-09-01,SAMMAMISH CAFE & SPIRI 425-2421350 WA,-31.94,
2024-09-02,NETFLIX.COM NETFLIX.COM CA,-25.33,
2024-09-03,AUTOMATIC PAYMENT - THANK YOU,1263.31,
2024-09-04,SAMMAMISH CAFE & SPIRI 425-2421350 WA,-24.88,
