date,description,amount,category
2025-10-07,Audible*NV0U21GH2 Amzn.com/bill NJ,-9.01,
2025-10-07,Audible*NF6V01T40 Amzn.com/bill NJ,-9.72,
2025-10-07,Audible*NV9E02VJ2 Amzn.com/bill NJ,-4.85,
2025-10-07,Amazon.com*NV73Q39U1 Amzn.com/bill WA,-4.71,
2025-10-07,AMAZON MKTPL*NF8N56AX0 Amzn.com/bill WA,-11.01,
2025-10-08,AMAZON MKTPL*NF3G73OX1 Amzn.com/bill WA,-16.74,
2025-10-09,AMAZON MKTPL*NF0AG42R0 Amzn.com/bill WA,-28.75,
2025-10-09,AMAZON MKTPL*NV4DD5YZ2 Amzn.com/bill WA,-33.05,
2025-10-10,Amazon.com*NF4G909L0 Amzn.com/bill WA,-55.05,
2025-10-12,AMAZON MKTPL*NF7TC7UO1 Amzn.com/bill WA,-16.52,
2025-10-16,AMAZON MKTPL*NM0AR0WU0 Amzn.com/bill WA,-94.76,
2025-10-17,AMAZON MKTPL*NM3PQ1E62 Amzn.com/bill WA,-29.74,
2025-10-19,AMAZON MKTPL*NU79G81V0 Amzn.com/bill WA,-55.09,
2025-10-21,AMAZON MKTPL*NU4MU8VL1 Amzn.com/bill WA,-33.05,
2025-10-24,AMAZON MKTPL*N449I8O31 Amzn.com/bill WA,-10.46,
2025-10-25,AMAZON MKTPL*N43145ED1 Amzn.com/bill WA,-4.40,
2025-10-28,AMAZON MKTPL*N468B89D0 Amzn.com/bill WA,-880.50,
2025-10-28,AMAZON MKTPL*N45A21KE1 Amzn.com/bill WA,-108.00,
2025-10-29,AMAZON MKTPL*NK6873CQ0 Amzn.com/bill WA,-29.19,
2025-10-30,Amazon.com*NK0845ZR0 Amzn.com/bill WA,-9.81,
2025-10-30,AMAZON MKTPL*NK5RV1Z01 Amzn.com/bill WA,-9.98,
2025-11-02,AMAZON MKTPL*NK8UN5B50 Amzn.com/bill WA,-55.09,
2025-11-03,AUTOMATIC PAYMENT - THANK YOU,864.44,
2025-11-03,Audible*NK8XS88N1 Amzn.com/bill NJ,-12.50,
2025-11-03,Amazon.com*NK6FD2SB0 Amzn.com/bill WA,-7.68,
2025-11-04,Audible*NK0OE2WK0 Amzn.com/bill NJ,-18.73,
